rank,road_id,source,target,length_m,road_class,hotspot_score,hotspot_class,peak_flood_depth_m,mean_flood_depth_m,peak_combined_risk,mean_combined_risk,risk_duration,high_risk_duration,very_high_risk_duration,fraction_of_time_high_risk,first_high_risk_timestamp,first_critical_timestamp,peak_risk_timestamp,peak_flood_depth_timestamp,number_of_timestamps
168,R-004,10055232024,13626183259,7.16,residential,0.6443,HIGH,0.368,0.184,0.6706,0.4498,5,3,0,0.5,T+120min,,T+90min,T+90min,6
169,R-742,13626183259,10055232024,7.16,residential,0.6443,HIGH,0.368,0.184,0.6706,0.4498,5,3,0,0.5,T+120min,,T+90min,T+90min,6
170,R-828,13638546125,13638546125,94.87,residential,0.6442,HIGH,0.345,0.169,0.6933,0.4863,6,3,0,0.5,T+120min,,T+90min,T+90min,6
171,R-829,13638546125,13638546125,94.87,residential,0.6442,HIGH,0.345,0.169,0.6933,0.4863,6,3,0,0.5,T+120min,,T+90min,T+90min,6
172,R-1328,6428381511,7372035744,115.39,residential,0.6439,HIGH,0.359,0.168,0.6789,0.4633,5,3,0,0.5,T+120min,,T+90min,T+90min,6
173,R-1452,7372035744,6428381511,115.39,residential,0.6439,HIGH,0.359,0.168,0.6789,0.4633,5,3,0,0.5,T+120min,,T+90min,T+90min,6
174,R-824,13638546111,13638546112,25.62,residential,0.6439,HIGH,0.35,0.169,0.6878,0.4776,6,3,0,0.5,T+120min,,T+90min,T+90min,6
175,R-826,13638546112,13638546111,25.62,residential,0.6439,HIGH,0.35,0.169,0.6878,0.4776,6,3,0,0.5,T+120min,,T+90min,T+90min,6
176,R-309,13617040689,13617040691,24.3,tertiary,0.6438,HIGH,0.351,0.174,0.6867,0.4761,6,3,0,0.5,T+120min,,T+90min,T+90min,6
177,R-006,10055232027,13626183259,90.39,residential,0.6433,HIGH,0.368,0.158,0.6686,0.4478,5,3,0,0.5,T+120min,,T+90min,T+90min,6
178,R-743,13626183259,10055232027,90.39,residential,0.6433,HIGH,0.368,0.158,0.6686,0.4478,5,3,0,0.5,T+120min,,T+90min,T+90min,6
179,R-287,13616325515,245666192,30.94,tertiary,0.6431,HIGH,0.334,0.163,0.7022,0.5018,6,3,0,0.5,T+120min,,T+90min,T+90min,6
180,R-520,13619368472,13620896407,24.35,residential,0.6426,HIGH,0.357,0.173,0.6783,0.4641,5,3,0,0.5,T+120min,,T+90min,T+90min,6
181,R-630,13620896407,13619368472,24.35,residential,0.6426,HIGH,0.357,0.173,0.6783,0.4641,5,3,0,0.5,T+120min,,T+90min,T+90min,6
182,R-008,10091403656,13616325515,6.09,tertiary_link,0.6426,HIGH,0.334,0.167,0.7012,0.5008,6,3,0,0.5,T+120min,,T+90min,T+90min,6
183,R-286,13616325515,10091403656,6.09,tertiary_link,0.6426,HIGH,0.334,0.167,0.7012,0.5008,6,3,0,0.5,T+120min,,T+90min,T+90min,6
184,R-307,13617040688,13617040689,79.85,tertiary,0.6422,HIGH,0.343,0.159,0.6914,0.4858,6,3,0,0.5,T+120min,,T+90min,T+90min,6
185,R-012,10091403664,10091403656,29.95,tertiary,0.6411,HIGH,0.334,0.162,0.6982,0.4978,6,3,0,0.5,T+120min,,T+90min,T+90min,6
186,R-818,13638546109,13638546110,26.52,residential,0.6404,HIGH,0.353,0.164,0.6777,0.4657,6,3,0,0.5,T+120min,,T+90min,T+90min,6
187,R-820,13638546110,13638546109,26.52,residential,0.6404,HIGH,0.353,0.164,0.6777,0.4657,6,3,0,0.5,T+120min,,T+90min,T+90min,6
188,R-312,13617040691,12313982248,56.77,tertiary,0.6391,HIGH,0.354,0.174,0.6742,0.4616,5,3,0,0.5,T+120min,,T+90min,T+90min,6
189,R-739,13626183257,13626183258,55.37,residential,0.6388,HIGH,0.348,0.165,0.6797,0.4709,6,3,0,0.5,T+120min,,T+90min,T+90min,6
190,R-741,13626183258,13626183257,55.37,residential,0.6388,HIGH,0.348,0.165,0.6797,0.4709,6,3,0,0.5,T+120min,,T+90min,T+90min,6
191,R-274,13615172965,13617040696,36.73,tertiary,0.6385,HIGH,0.343,0.163,0.684,0.4782,6,3,0,0.5,T+120min,,T+90min,T+90min,6
192,R-159,12313982248,13615172966,7.68,residential,0.6382,HIGH,0.35,0.175,0.6764,0.466,6,3,0,0.5,T+120min,,T+90min,T+90min,6
193,R-276,13615172966,12313982248,7.68,residential,0.6382,HIGH,0.35,0.175,0.6764,0.466,6,3,0,0.5,T+120min,,T+90min,T+90min,6
194,R-221,13433910628,13433910629,44.95,residential,0.6373,HIGH,0.362,0.156,0.6627,0.4455,5,3,0,0.5,T+120min,,T+90min,T+90min,6
195,R-223,13433910629,13433910628,44.95,residential,0.6373,HIGH,0.362,0.156,0.6627,0.4455,5,3,0,0.5,T+120min,,T+90min,T+90min,6
196,R-314,13617040692,13617040690,24.5,tertiary,0.6365,HIGH,0.348,0.172,0.6749,0.4661,6,3,0,0.5,T+120min,,T+90min,T+90min,6
197,R-1005,245666579,12350425034,7.73,residential,0.6362,HIGH,0.356,0.178,0.6663,0.4531,5,3,0,0.5,T+120min,,T+90min,T+90min,6
198,R-175,12350425034,245666579,7.73,residential,0.6362,HIGH,0.356,0.178,0.6663,0.4531,5,3,0,0.5,T+120min,,T+90min,T+90min,6
199,R-1228,4342420490,2244637034,83.59,residential,0.6361,HIGH,0.349,0.157,0.6732,0.4634,6,3,0,0.5,T+120min,,T+90min,T+90min,6
200,R-926,2244637034,4342420490,83.59,residential,0.6361,HIGH,0.349,0.157,0.6732,0.4634,6,3,0,0.5,T+120min,,T+90min,T+90min,6
201,R-277,13615172966,13617040692,56.23,tertiary,0.6355,HIGH,0.351,0.172,0.67,0.4594,5,3,0,0.5,T+120min,,T+90min,T+90min,6
202,R-1004,245666579,12350391112,182.63,tertiary,0.6349,HIGH,0.364,0.137,0.6558,0.4376,5,3,0,0.5,T+120min,,T+90min,T+90min,6
203,R-830,13638546125,13638546126,27.14,residential,0.6341,HIGH,0.344,0.161,0.6741,0.4677,6,3,0,0.5,T+120min,,T+90min,T+90min,6
204,R-833,13638546126,13638546125,27.14,residential,0.6341,HIGH,0.344,0.161,0.6741,0.4677,6,3,0,0.5,T+120min,,T+90min,T+90min,6
205,R-310,13617040690,13617040687,79.46,tertiary,0.6341,HIGH,0.343,0.155,0.6752,0.4696,6,3,0,0.5,T+120min,,T+90min,T+90min,6
206,R-248,13614452347,13614452359,54.31,trunk,0.6341,HIGH,0.338,0.164,0.6802,0.4772,6,3,0,0.5,T+120min,,T+90min,T+90min,6
207,R-261,13615156514,13615156515,14.84,tertiary_link,0.6333,HIGH,0.332,0.164,0.6846,0.4852,6,3,0,0.5,T+120min,,T+90min,T+90min,6
208,R-263,13615156515,13615156514,14.84,tertiary_link,0.6333,HIGH,0.332,0.164,0.6846,0.4852,6,3,0,0.5,T+120min,,T+90min,T+90min,6
209,R-308,13617040689,13617040690,8.4,tertiary_link,0.6325,HIGH,0.343,0.172,0.672,0.4664,6,3,0,0.5,T+120min,,T+90min,T+90min,6
210,R-311,13617040690,13617040689,8.4,tertiary_link,0.6325,HIGH,0.343,0.172,0.672,0.4664,6,3,0,0.5,T+120min,,T+90min,T+90min,6
211,R-508,13619368459,13619368471,19.88,residential,0.6315,HIGH,0.336,0.161,0.6771,0.4753,6,3,0,0.5,T+120min,,T+90min,T+90min,6
212,R-515,13619368471,13619368459,19.88,residential,0.6315,HIGH,0.336,0.161,0.6771,0.4753,6,3,0,0.5,T+120min,,T+90min,T+90min,6
213,R-305,13617040687,13617040688,8.16,tertiary_link,0.6315,HIGH,0.326,0.163,0.6871,0.4915,6,3,0,0.5,T+120min,,T+90min,T+90min,6
214,R-306,13617040688,13617040687,8.16,tertiary_link,0.6315,HIGH,0.326,0.163,0.6871,0.4915,6,3,0,0.5,T+120min,,T+90min,T+90min,6
215,R-516,13619368471,13619368487,58.63,residential,0.6312,HIGH,0.336,0.157,0.6765,0.4747,6,3,0,0.5,T+120min,,T+90min,T+90min,6
216,R-525,13619368487,13619368471,58.63,residential,0.6312,HIGH,0.336,0.157,0.6765,0.4747,6,3,0,0.5,T+120min,,T+90min,T+90min,6
217,R-160,12313982248,13617040693,31.44,tertiary,0.6309,HIGH,0.35,0.166,0.6618,0.4514,5,3,0,0.5,T+120min,,T+90min,T+90min,6
218,R-318,13617040694,13615172966,31.47,tertiary,0.6301,HIGH,0.35,0.163,0.6601,0.4497,5,3,0,0.5,T+120min,,T+90min,T+90min,6
219,R-064,10696472347,245666482,74.32,residential,0.6298,HIGH,0.321,0.157,0.6885,0.4961,6,3,0,0.5,T+120min,,T+90min,T+90min,6
220,R-1001,245666482,10696472347,74.32,residential,0.6298,HIGH,0.321,0.157,0.6885,0.4961,6,3,0,0.5,T+120min,,T+90min,T+90min,6
221,R-026,10265662175,12406085638,134.01,trunk_link,0.6294,HIGH,0.344,0.149,0.6647,0.4583,6,3,0,0.5,T+120min,,T+90min,T+90min,6
222,R-313,13617040691,13617040692,8.25,tertiary_link,0.629,HIGH,0.347,0.172,0.6609,0.4527,5,3,0,0.5,T+120min,,T+90min,T+90min,6
223,R-315,13617040692,13617040691,8.25,tertiary_link,0.629,HIGH,0.347,0.172,0.6609,0.4527,5,3,0,0.5,T+120min,,T+90min,T+90min,6
224,R-013,10091403664,245666192,6.21,residential,0.6284,HIGH,0.318,0.159,0.6888,0.4978,6,3,0,0.5,T+120min,,T+90min,T+90min,6
225,R-967,245666192,10091403664,6.21,residential,0.6284,HIGH,0.318,0.159,0.6888,0.4978,6,3,0,0.5,T+120min,,T+90min,T+90min,6
226,R-523,13619368475,13620896407,8.53,residential,0.6282,HIGH,0.345,0.168,0.6614,0.4544,5,3,0,0.5,T+120min,,T+90min,T+90min,6
227,R-631,13620896407,13619368475,8.53,residential,0.6282,HIGH,0.345,0.168,0.6614,0.4544,5,3,0,0.5,T+120min,,T+90min,T+90min,6
228,R-1258,5896564331,6590384792,9.22,tertiary,0.628,HIGH,0.355,0.169,0.6511,0.4383,5,3,0,0.5,T+120min,,T+90min,T+90min,6
229,R-1421,6590384792,5896564331,9.22,tertiary,0.628,HIGH,0.355,0.169,0.6511,0.4383,5,3,0,0.5,T+120min,,T+90min,T+90min,6
230,R-208,13398075180,13615156514,94.7,tertiary,0.6266,HIGH,0.332,0.155,0.6712,0.4718,6,3,0,0.5,T+120min,,T+90min,T+90min,6
231,R-375,13617483792,13617550913,9.91,tertiary,0.6231,HIGH,0.336,0.163,0.6602,0.4586,6,3,0,0.5,T+120min,,T+90min,T+90min,6
232,R-1003,245666482,13638546112,29.08,residential,0.6231,HIGH,0.326,0.161,0.6702,0.4744,6,3,0,0.5,T+120min,,T+90min,T+90min,6
233,R-827,13638546112,245666482,29.08,residential,0.6231,HIGH,0.326,0.161,0.6702,0.4744,6,3,0,0.5,T+120min,,T+90min,T+90min,6
234,R-249,13614452347,13614452359,139.79,residential,0.6221,HIGH,0.338,0.145,0.6563,0.4533,6,3,0,0.5,T+120min,,T+90min,T+90min,6
235,R-250,13614452359,13614452347,139.79,residential,0.6221,HIGH,0.338,0.145,0.6563,0.4533,6,3,0,0.5,T+120min,,T+90min,T+90min,6
236,R-083,10923438752,622039354,34.51,residential,0.6221,HIGH,0.333,0.153,0.6612,0.4614,6,3,0,0.5,T+120min,,T+90min,T+90min,6
237,R-1281,622039354,10923438752,34.51,residential,0.6221,HIGH,0.333,0.153,0.6612,0.4614,6,3,0,0.5,T+120min,,T+90min,T+90min,6
238,R-1187,2897024751,13616287393,231.94,tertiary,0.6212,HIGH,0.344,0.154,0.6484,0.4422,5,3,0,0.5,T+120min,,T+90min,T+90min,6
239,R-1324,631525438,2897024798,385.32,primary,0.6208,HIGH,0.342,0.136,0.6497,0.4447,5,3,0,0.5,T+120min,,T+90min,T+90min,6
240,R-062,10696472347,10696472356,48.98,residential,0.6196,HIGH,0.322,0.152,0.6672,0.474,6,3,0,0.5,T+120min,,T+90min,T+90min,6
241,R-074,10696472356,10696472347,48.98,residential,0.6196,HIGH,0.322,0.152,0.6672,0.474,6,3,0,0.5,T+120min,,T+90min,T+90min,6
242,R-902,2244637004,13614452347,193.91,trunk,0.6188,HIGH,0.338,0.138,0.6496,0.4466,5,3,0,0.5,T+120min,,T+90min,T+90min,6
243,R-1077,245668039,7404711447,18.91,secondary,0.6181,HIGH,0.322,0.16,0.6642,0.4708,6,3,0,0.5,T+120min,,T+90min,T+90min,6
244,R-1462,7404711447,245668039,18.91,secondary,0.6181,HIGH,0.322,0.16,0.6642,0.4708,6,3,0,0.5,T+120min,,T+90min,T+90min,6
245,R-541,13619400539,245668039,29.34,secondary_link,0.6174,HIGH,0.322,0.16,0.6629,0.4697,6,3,0,0.5,T+120min,,T+90min,T+90min,6
246,R-326,13617067002,10091403664,125.59,tertiary,0.6173,HIGH,0.318,0.142,0.6667,0.4757,6,3,0,0.5,T+120min,,T+90min,T+90min,6
247,R-283,13616287394,2897024748,235.5,tertiary,0.6166,HIGH,0.339,0.156,0.6442,0.4408,5,3,0,0.5,T+120min,,T+90min,T+90min,6
248,R-1265,5911310870,622039341,271.18,residential,0.6154,HIGH,0.34,0.136,0.6408,0.4368,5,3,0,0.5,T+120min,,T+90min,T+90min,6
249,R-1276,622039341,5911310870,271.18,residential,0.6154,HIGH,0.34,0.136,0.6408,0.4368,5,3,0,0.5,T+120min,,T+90min,T+90min,6
250,R-969,245666192,245666077,122.53,tertiary,0.6152,HIGH,0.318,0.14,0.6623,0.4713,6,3,0,0.5,T+120min,,T+90min,T+90min,6
251,R-1256,5470238123,9691859215,23.99,trunk_link,0.6147,HIGH,0.322,0.159,0.6574,0.4642,6,3,0,0.5,T+120min,,T+90min,T+90min,6
252,R-1507,9691859215,5470238123,23.99,trunk_link,0.6147,HIGH,0.322,0.159,0.6574,0.4642,6,3,0,0.5,T+120min,,T+90min,T+90min,6
253,R-542,13619400539,7404711447,26.99,secondary,0.6147,HIGH,0.322,0.161,0.6574,0.4642,6,3,0,0.5,T+120min,,T+90min,T+90min,6
254,R-372,13617483791,13617483792,2.64,tertiary,0.613,HIGH,0.329,0.164,0.647,0.4494,6,3,0,0.5,T+120min,,T+90min,T+90min,6
255,R-1107,2804520131,5470238123,64.33,trunk,0.6129,HIGH,0.322,0.153,0.6538,0.4606,6,3,0,0.5,T+120min,,T+90min,T+90min,6
256,R-1372,6490968308,2244637027,168.17,residential,0.6106,HIGH,0.326,0.141,0.6451,0.4493,6,3,0,0.5,T+120min,,T+90min,T+90min,6
257,R-923,2244637027,6490968308,168.17,residential,0.6106,HIGH,0.326,0.141,0.6451,0.4493,6,3,0,0.5,T+120min,,T+90min,T+90min,6
258,R-1069,245668015,7404711447,9.51,secondary,0.6106,HIGH,0.321,0.16,0.6503,0.4577,6,3,0,0.5,T+120min,,T+90min,T+90min,6
259,R-1461,7404711447,245668015,9.51,secondary,0.6106,HIGH,0.321,0.16,0.6503,0.4577,6,3,0,0.5,T+120min,,T+90min,T+90min,6
260,R-100,10924277275,10924277275,339.19,residential,0.6101,HIGH,0.322,0.152,0.6482,0.455,6,3,0,0.5,T+120min,,T+90min,T+90min,6
261,R-101,10924277275,10924277275,339.19,residential,0.6101,HIGH,0.322,0.152,0.6482,0.455,6,3,0,0.5,T+120min,,T+90min,T+90min,6
262,R-371,13617483789,13617483791,5.29,tertiary,0.6099,HIGH,0.329,0.157,0.6409,0.4433,5,3,0,0.5,T+120min,,T+90min,T+90min,6
263,R-1179,2897024734,631525440,214.13,tertiary,0.6099,HIGH,0.322,0.144,0.6478,0.4546,6,3,0,0.5,T+120min,,T+90min,T+90min,6
264,R-1325,631525440,2897024734,214.13,tertiary,0.6099,HIGH,0.322,0.144,0.6478,0.4546,6,3,0,0.5,T+120min,,T+90min,T+90min,6
265,R-1076,245668039,10925931781,8.27,secondary,0.6096,HIGH,0.318,0.157,0.6512,0.4606,6,3,0,0.5,T+120min,,T+90min,T+90min,6
266,R-109,10925931781,245668039,8.27,secondary,0.6096,HIGH,0.318,0.157,0.6512,0.4606,6,3,0,0.5,T+120min,,T+90min,T+90min,6
267,R-001,10044201331,12243225438,31.35,trunk,0.6091,HIGH,0.329,0.155,0.6393,0.4417,5,3,0,0.5,T+120min,,T+90min,T+90min,6
268,R-1057,245667863,245667933,47.83,residential,0.6086,HIGH,0.322,0.155,0.6451,0.4519,6,3,0,0.5,T+120min,,T+90min,T+90min,6
269,R-1059,245667933,245667863,47.83,residential,0.6086,HIGH,0.322,0.155,0.6451,0.4519,6,3,0,0.5,T+120min,,T+90min,T+90min,6
270,R-251,13614452359,9691859215,22.47,trunk,0.6081,HIGH,0.321,0.159,0.6452,0.4526,6,3,0,0.5,T+120min,,T+90min,T+90min,6
271,R-1002,245666482,13638546110,17.87,residential,0.6073,HIGH,0.32,0.157,0.6445,0.4525,6,3,0,0.5,T+120min,,T+90min,T+90min,6
272,R-821,13638546110,245666482,17.87,residential,0.6073,HIGH,0.32,0.157,0.6445,0.4525,6,3,0,0.5,T+120min,,T+90min,T+90min,6
273,R-807,13638535684,13638546112,36.29,residential,0.6062,HIGH,0.326,0.157,0.6364,0.4406,5,3,0,0.5,T+120min,,T+90min,T+90min,6
274,R-825,13638546112,13638535684,36.29,residential,0.6062,HIGH,0.326,0.157,0.6364,0.4406,5,3,0,0.5,T+120min,,T+90min,T+90min,6
275,R-132,11047568171,13617040683,46.74,tertiary,0.6055,HIGH,0.322,0.161,0.6391,0.4459,6,3,0,0.5,T+120min,,T+90min,T+90min,6
276,R-329,13617092826,13617092827,6.9,residential,0.6051,HIGH,0.32,0.16,0.6402,0.4482,6,3,0,0.5,T+120min,,T+90min,T+90min,6
277,R-331,13617092827,13617092826,6.9,residential,0.6051,HIGH,0.32,0.16,0.6402,0.4482,6,3,0,0.5,T+120min,,T+90min,T+90min,6
278,R-332,13617092827,13617092838,23.35,residential,0.6046,HIGH,0.321,0.159,0.6381,0.4453,6,3,0,0.5,T+120min,,T+90min,T+90min,6
279,R-345,13617092838,13617092827,23.35,residential,0.6046,HIGH,0.321,0.159,0.6381,0.4453,6,3,0,0.5,T+120min,,T+90min,T+90min,6
280,R-1065,245668000,245668015,6.76,tertiary,0.6039,HIGH,0.32,0.159,0.6378,0.4458,6,3,0,0.5,T+120min,,T+90min,T+90min,6
281,R-1068,245668015,245668000,6.76,tertiary,0.6039,HIGH,0.32,0.159,0.6378,0.4458,6,3,0,0.5,T+120min,,T+90min,T+90min,6
282,R-133,11047568171,13626183257,126.95,residential,0.6032,HIGH,0.322,0.156,0.6344,0.4412,5,3,0,0.5,T+120min,,T+90min,T+90min,6
283,R-738,13626183257,11047568171,126.95,residential,0.6032,HIGH,0.322,0.156,0.6344,0.4412,5,3,0,0.5,T+120min,,T+90min,T+90min,6
284,R-1067,245668015,14104987804,130.23,secondary,0.6031,HIGH,0.322,0.157,0.6343,0.4411,5,3,0,0.5,T+120min,,T+90min,T+90min,6
285,R-235,13614337239,245666192,132.84,residential,0.603,HIGH,0.318,0.134,0.6379,0.4469,6,3,0,0.5,T+120min,,T+90min,T+90min,6
286,R-968,245666192,13614337239,132.84,residential,0.603,HIGH,0.318,0.134,0.6379,0.4469,6,3,0,0.5,T+120min,,T+90min,T+90min,6
287,R-880,13798296288,13798296289,87.25,residential,0.6017,HIGH,0.318,0.138,0.6354,0.4446,6,3,0,0.5,T+120min,,T+90min,T+90min,6
288,R-882,13798296289,13798296288,87.25,residential,0.6017,HIGH,0.318,0.138,0.6354,0.4446,6,3,0,0.5,T+120min,,T+90min,T+90min,6
289,R-328,13617092826,10724726259,9.92,tertiary,0.6014,HIGH,0.32,0.159,0.6328,0.4408,5,3,0,0.5,T+120min,,T+90min,T+90min,6
290,R-294,13617040682,13617092827,10.26,tertiary,0.6013,HIGH,0.319,0.158,0.6335,0.4419,6,3,0,0.5,T+120min,,T+90min,T+90min,6
291,R-839,1375215100,1375215119,153.45,residential,0.6007,HIGH,0.317,0.15,0.6344,0.4442,6,3,0,0.5,T+120min,,T+90min,T+90min,6
292,R-842,1375215119,1375215100,153.45,residential,0.6007,HIGH,0.317,0.15,0.6344,0.4442,6,3,0,0.5,T+120min,,T+90min,T+90min,6
293,R-513,13619368466,13619368487,32.86,residential,0.6004,HIGH,0.317,0.146,0.6338,0.4436,6,3,0,0.5,T+120min,,T+90min,T+90min,6
294,R-524,13619368487,13619368466,32.86,residential,0.6004,HIGH,0.317,0.146,0.6338,0.4436,6,3,0,0.5,T+120min,,T+90min,T+90min,6
295,R-867,13798244195,13798244196,156.29,residential,0.5996,HIGH,0.316,0.137,0.6332,0.4436,6,3,0,0.5,T+120min,,T+90min,T+90min,6
296,R-725,13622528187,13622528188,26.61,residential,0.5985,HIGH,0.315,0.154,0.6321,0.4429,6,3,0,0.5,T+120min,,T+90min,T+90min,6
297,R-727,13622528188,13622528187,26.61,residential,0.5985,HIGH,0.315,0.154,0.6321,0.4429,6,3,0,0.5,T+120min,,T+90min,T+90min,6
298,R-506,13619368459,13619368460,19.68,residential,0.597,HIGH,0.309,0.146,0.635,0.4498,6,3,0,0.5,T+120min,,T+90min,T+90min,6
299,R-509,13619368460,13619368459,19.68,residential,0.597,HIGH,0.309,0.146,0.635,0.4498,6,3,0,0.5,T+120min,,T+90min,T+90min,6
300,R-666,13621901230,6428811268,34.8,tertiary,0.5957,HIGH,0.31,0.15,0.6313,0.4453,6,3,0,0.5,T+120min,,T+90min,T+90min,6
301,R-779,13638535653,13638535654,39.0,residential,0.5881,HIGH,0.301,0.142,0.6252,0.4448,6,3,0,0.5,T+120min,,T+90min,T+90min,6
302,R-781,13638535654,13638535653,39.0,residential,0.5881,HIGH,0.301,0.142,0.6252,0.4448,6,3,0,0.5,T+120min,,T+90min,T+90min,6
303,R-034,10294725029,12350425034,184.13,tertiary,0.582,HIGH,0.356,0.134,0.6414,0.4282,5,2,0,0.333,T+60min,,T+90min,T+90min,6
304,R-1106,2804520131,2244797470,226.51,residential,0.5764,HIGH,0.347,0.131,0.6392,0.431,5,2,0,0.333,T+60min,,T+90min,T+90min,6
305,R-936,2244797470,2804520131,226.51,residential,0.5764,HIGH,0.347,0.131,0.6392,0.431,5,2,0,0.333,T+60min,,T+90min,T+90min,6
306,R-098,10924277272,12756633089,156.13,residential,0.5746,HIGH,0.343,0.144,0.6395,0.4335,5,2,0,0.333,T+60min,,T+90min,T+90min,6
307,R-204,12756633089,10924277272,156.13,residential,0.5746,HIGH,0.343,0.144,0.6395,0.4335,5,2,0,0.333,T+60min,,T+90min,T+90min,6
308,R-1277,622039341,622039345,20.41,residential,0.5734,HIGH,0.34,0.16,0.6402,0.4362,5,2,0,0.333,T+60min,,T+90min,T+90min,6
309,R-1280,622039345,622039341,20.41,residential,0.5734,HIGH,0.34,0.16,0.6402,0.4362,5,2,0,0.333,T+60min,,T+90min,T+90min,6
310,R-747,13638081803,13638081804,73.08,residential,0.5696,HIGH,0.343,0.155,0.6295,0.4237,5,2,0,0.333,T+60min,,T+90min,T+90min,6
311,R-750,13638081804,13638081803,73.08,residential,0.5696,HIGH,0.343,0.155,0.6295,0.4237,5,2,0,0.333,T+60min,,T+90min,T+90min,6
312,R-889,14090541020,10279771623,45.09,primary,0.5691,HIGH,0.335,0.167,0.6366,0.4356,5,2,0,0.333,T+60min,,T+90min,T+90min,6
313,R-1450,7372035744,13617040678,13.12,tertiary,0.5684,HIGH,0.337,0.164,0.6331,0.4311,5,2,0,0.333,T+60min,,T+90min,T+90min,6
314,R-292,13617040678,7372035744,13.12,tertiary,0.5684,HIGH,0.337,0.164,0.6331,0.4311,5,2,0,0.333,T+60min,,T+90min,T+90min,6
315,R-028,10279771623,631507992,28.4,primary,0.5676,HIGH,0.335,0.155,0.6336,0.4326,5,2,0,0.333,T+60min,,T+90min,T+90min,6
316,R-1282,622039354,13619237603,70.45,residential,0.5673,HIGH,0.337,0.153,0.631,0.4286,5,2,0,0.333,T+60min,,T+90min,T+90min,6
317,R-462,13619237603,622039354,70.45,residential,0.5673,HIGH,0.337,0.153,0.631,0.4286,5,2,0,0.333,T+60min,,T+90min,T+90min,6
318,R-027,10279771623,10279771626,41.31,primary_link,0.5663,HIGH,0.335,0.145,0.631,0.43,5,2,0,0.333,T+60min,,T+90min,T+90min,6
319,R-015,10213907200,11027088421,342.73,unclassified,0.566,HIGH,0.339,0.119,0.6264,0.423,5,2,0,0.333,T+60min,,T+90min,T+90min,6
320,R-118,11027088421,10213907200,342.73,unclassified,0.566,HIGH,0.339,0.119,0.6264,0.423,5,2,0,0.333,T+60min,,T+90min,T+90min,6
321,R-104,10925931739,2244797686,51.06,residential,0.5614,HIGH,0.335,0.146,0.6211,0.4203,5,2,0,0.333,T+60min,,T+90min,T+90min,6
322,R-937,2244797686,10925931739,51.06,residential,0.5614,HIGH,0.335,0.146,0.6211,0.4203,5,2,0,0.333,T+60min,,T+90min,T+90min,6
323,R-298,13617040684,13617040682,57.9,tertiary,0.5599,HIGH,0.322,0.159,0.6311,0.4379,5,2,0,0.333,T+60min,,T+90min,T+90min,6
324,R-1055,245667863,13619400539,98.56,secondary,0.5575,HIGH,0.322,0.155,0.6263,0.4331,5,2,0,0.333,T+60min,,T+90min,T+90min,6
325,R-344,13617092837,13617092838,9.69,residential,0.5575,HIGH,0.321,0.156,0.6274,0.4346,5,2,0,0.333,T+60min,,T+90min,T+90min,6
326,R-347,13617092838,13617092837,9.69,residential,0.5575,HIGH,0.321,0.156,0.6274,0.4346,5,2,0,0.333,T+60min,,T+90min,T+90min,6
327,R-297,13617040683,13617040684,5.21,tertiary_link,0.5564,HIGH,0.319,0.16,0.6272,0.436,5,2,0,0.333,T+60min,,T+90min,T+90min,6
328,R-299,13617040684,13617040683,5.21,tertiary_link,0.5564,HIGH,0.319,0.16,0.6272,0.436,5,2,0,0.333,T+60min,,T+90min,T+90min,6
329,R-1287,622039360,6576335804,88.93,residential,0.5562,HIGH,0.327,0.146,0.6187,0.4227,5,2,0,0.333,T+60min,,T+90min,T+90min,6
330,R-1415,6576335804,622039360,88.93,residential,0.5562,HIGH,0.327,0.146,0.6187,0.4227,5,2,0,0.333,T+60min,,T+90min,T+90min,6
331,R-330,13617092827,12350391111,86.31,tertiary,0.556,HIGH,0.324,0.151,0.6214,0.4268,5,2,0,0.333,T+60min,,T+90min,T+90min,6
332,R-077,10724726259,11047568171,11.43,tertiary,0.5559,HIGH,0.32,0.159,0.6252,0.4332,5,2,0,0.333,T+60min,,T+90min,T+90min,6
333,R-296,13617040683,13617040678,75.06,tertiary,0.5557,HIGH,0.321,0.158,0.6237,0.4311,5,2,0,0.333,T+60min,,T+90min,T+90min,6
334,R-262,13615156515,13398075181,93.56,tertiary,0.5555,HIGH,0.324,0.144,0.6204,0.4258,5,2,0,0.333,T+60min,,T+90min,T+90min,6
335,R-174,12350391112,13617092826,85.79,tertiary,0.5552,HIGH,0.322,0.153,0.6217,0.4285,5,2,0,0.333,T+60min,,T+90min,T+90min,6
336,R-840,1375215100,14104987804,39.68,residential,0.5548,HIGH,0.319,0.154,0.6239,0.4323,5,2,0,0.333,T+60min,,T+90min,T+90min,6
337,R-890,14104987804,1375215100,39.68,residential,0.5548,HIGH,0.319,0.154,0.6239,0.4323,5,2,0,0.333,T+60min,,T+90min,T+90min,6
338,R-1511,9914206292,13619604480,28.2,residential,0.554,HIGH,0.318,0.155,0.6233,0.4325,5,2,0,0.333,T+60min,,T+90min,T+90min,6
339,R-619,13619604480,9914206292,28.2,residential,0.554,HIGH,0.318,0.155,0.6233,0.4325,5,2,0,0.333,T+60min,,T+90min,T+90min,6
340,R-1264,5911310870,5911310871,172.37,trunk,0.5537,HIGH,0.315,0.13,0.6257,0.4371,5,2,0,0.333,T+60min,,T+90min,T+90min,6
