road_id,source,target,length_m,road_class,road_name,lanes,width_m,maxspeed_kmh,oneway,grid_cell_count,mean_elevation_m,min_elevation_m,max_elevation_m,elevation_range_m,elevation_gradient,mean_imperviousness,mean_infiltration_mm_hr,mean_flow_accumulation,max_flow_accumulation,mean_flow_direction,mean_twi,mean_slope_deg
R-354,13617280082,245668208,44.67,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-355,13617280087,13617280082,38.42,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-356,13617292720,13617292726,31.17,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-357,13617292720,13617292726,44.62,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-358,13617292720,13617292729,12.94,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-359,13617292726,10923690293,6.68,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-360,13617292726,13617292720,44.62,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-361,13617292726,13617292720,31.17,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-362,13617292729,10923690293,36.91,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-363,13617292729,13617292720,12.94,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-364,13617292729,623895532,50.08,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-365,13617327485,13617280082,128.75,residential,,2,6.0,30,False,10,4.62,2.14,6.92,4.78,0.0371,0.752,2.48,3.23,6.72,4.4,7.216,3.4
R-366,13617327485,13617327487,13.04,residential,,2,6.0,30,False,3,7.11,6.92,7.37,0.45,0.0345,0.728,2.72,1.01,1.02,4.0,7.12,1.34
R-367,13617327485,7404711477,52.26,residential,,2,6.0,30,False,8,6.53,6.18,6.92,0.74,0.0142,0.734,2.66,1.71,2.66,5.75,8.072,1.3
R-368,13617327487,13617327485,13.04,residential,,2,6.0,30,False,3,7.11,6.92,7.37,0.45,0.0345,0.728,2.72,1.01,1.02,4.0,7.12,1.34
R-369,13617327487,13617327487,99.62,residential,,2,6.0,30,False,10,7.07,6.37,7.71,1.34,0.0135,0.729,2.71,1.01,1.04,3.1,6.717,2.19
R-370,13617327487,13617327487,99.62,residential,,2,6.0,30,False,10,7.07,6.37,7.71,1.34,0.0135,0.729,2.71,1.01,1.04,3.1,6.717,2.19
R-371,13617483789,13617483791,5.29,tertiary,,2,8.0,40,True,2,2.3,1.75,2.86,1.11,0.2098,0.774,2.26,12.34,13.54,8.0,7.86,5.89
R-372,13617483791,13617483792,2.64,tertiary,,2,8.0,40,True,1,1.75,1.75,1.75,0.0,0.0,0.779,2.21,13.54,13.54,8.0,8.063,5.87
R-373,13617483791,13619318866,100.36,residential,,2,6.0,30,False,9,2.25,-0.57,5.59,6.16,0.0614,0.774,2.26,6.67,13.54,4.0,7.255,5.76
R-374,13617483792,13617550909,20.4,residential,,2,6.0,30,True,3,1.24,0.49,1.75,1.26,0.0618,0.784,2.16,17.38,19.81,8.0,8.617,5.23
R-375,13617483792,13617550913,9.91,tertiary,,2,8.0,40,True,3,1.9,1.48,2.47,0.99,0.0999,0.777,2.23,16.06,18.79,8.0,8.388,5.5
R-376,13617483794,13617550919,9.35,tertiary,,2,8.0,40,True,2,2.96,2.47,3.46,0.99,0.1059,0.768,2.33,13.04,15.84,8.0,7.966,4.87
R-377,13617483794,13617550927,24.58,tertiary,,2,8.0,40,True,4,3.43,2.47,4.63,2.16,0.0879,0.763,2.37,12.22,15.84,10.0,8.007,4.2
R-378,13617550905,13617483789,8.06,tertiary,,2,8.0,40,True,1,2.86,2.86,2.86,0.0,0.0,0.769,2.31,11.14,11.14,8.0,7.657,5.92
R-379,13617550905,13617550915,26.3,tertiary,,2,8.0,40,True,4,4.5,2.86,5.7,2.84,0.108,0.753,2.47,4.86,11.14,8.0,6.744,5.61
R-380,13617550909,13617092832,156.58,residential,,2,6.0,30,False,20,0.29,-0.94,2.49,3.43,0.0219,0.793,2.07,23.45,61.26,5.8,8.621,2.56
R-381,13617550909,13617550913,21.05,residential,,2,6.0,30,True,3,1.48,0.49,2.47,1.98,0.0941,0.781,2.19,18.15,19.81,8.0,8.705,5.05
R-382,13617550913,13617483794,3.32,tertiary,,2,8.0,40,True,1,2.47,2.47,2.47,0.0,0.0,0.772,2.28,15.84,15.84,8.0,8.327,5.33
R-383,13617550915,245666158,28.38,tertiary,,2,8.0,40,True,4,6.69,5.7,7.59,1.89,0.0666,0.732,2.67,1.58,1.85,5.0,6.297,4.89
R-384,13617550915,7365871208,7.27,tertiary_link,,1,6.0,30,False,2,5.19,4.67,5.7,1.03,0.1417,0.747,2.53,2.11,2.37,8.0,6.322,6.11
R-385,13617550919,13617550905,12.15,tertiary,,2,8.0,40,True,3,3.43,2.86,3.96,1.1,0.0905,0.763,2.37,9.57,11.14,8.0,7.472,5.06
R-386,13617550926,13617550919,19.52,tertiary,Ramakrishna Paramahansa Marg,2,8.0,40,True,2,3.98,3.46,4.49,1.03,0.0528,0.758,2.42,8.8,10.24,8.0,7.535,3.79
R-387,13617550926,13617550927,7.96,tertiary_link,,1,6.0,30,False,2,4.56,4.49,4.63,0.14,0.0176,0.752,2.48,8.86,10.35,12.0,7.784,3.02
R-388,13617550927,13617550926,7.96,tertiary_link,,1,6.0,30,False,2,4.56,4.49,4.63,0.14,0.0176,0.752,2.48,8.86,10.35,12.0,7.784,3.02
R-389,13617550927,13617550929,85.37,tertiary,,2,8.0,40,True,10,6.39,4.63,8.06,3.43,0.0402,0.735,2.65,4.59,10.57,8.8,7.142,2.95
R-390,13617550928,13617550926,86.76,tertiary,Ramakrishna Paramahansa Marg,2,8.0,40,True,11,6.61,4.49,8.39,3.9,0.045,0.733,2.67,4.34,10.57,9.82,7.086,2.72
R-391,13617550928,13617550929,14.72,residential,,2,6.0,30,False,2,8.23,8.06,8.39,0.33,0.0224,0.718,2.81,1.0,1.0,8.0,6.428,3.01
R-392,13617550928,13618123059,16.53,residential,,2,6.0,30,False,3,8.5,8.39,8.71,0.32,0.0194,0.716,2.84,1.0,1.0,13.33,6.505,2.7
R-393,13617550929,13617550923,27.06,tertiary,,2,8.0,40,True,5,8.19,8.04,8.39,0.35,0.0129,0.719,2.81,2.36,4.26,7.2,6.986,2.9
R-394,13617550929,13617550928,14.72,residential,,2,6.0,30,False,2,8.23,8.06,8.39,0.33,0.0224,0.718,2.81,1.0,1.0,8.0,6.428,3.01
R-395,13618123059,13617550928,16.53,residential,,2,6.0,30,False,3,8.5,8.39,8.71,0.32,0.0194,0.716,2.84,1.0,1.0,13.33,6.505,2.7
R-396,13618123059,13618123066,49.46,residential,,2,6.0,30,False,7,8.39,8.0,8.71,0.71,0.0144,0.717,2.83,1.37,1.71,16.0,6.781,2.56
R-397,13618123059,13618123089,18.89,residential,,2,6.0,30,False,2,8.86,8.71,9.01,0.3,0.0159,0.712,2.88,1.02,1.03,16.0,6.553,2.48
R-398,13618123066,13618123059,49.46,residential,,2,6.0,30,False,7,8.39,8.0,8.71,0.71,0.0144,0.717,2.83,1.37,1.71,16.0,6.781,2.56
R-399,13618123066,13618123089,14.18,residential,,2,6.0,30,False,3,8.78,8.65,9.01,0.36,0.0254,0.713,2.87,1.28,1.45,16.0,6.782,2.48
R-400,13618123066,13618123089,137.56,residential,,2,6.0,30,False,15,9.71,8.65,10.99,2.34,0.017,0.704,2.96,1.06,1.45,12.0,6.837,2.51
R-401,13618123089,13618123059,18.89,residential,,2,6.0,30,False,2,8.86,8.71,9.01,0.3,0.0159,0.712,2.88,1.02,1.03,16.0,6.553,2.48
R-402,13618123089,13618123066,14.18,residential,,2,6.0,30,False,3,8.78,8.65,9.01,0.36,0.0254,0.713,2.87,1.28,1.45,16.0,6.782,2.48
R-403,13618123089,13618123066,137.56,residential,,2,6.0,30,False,15,9.71,8.65,10.99,2.34,0.017,0.704,2.96,1.06,1.45,12.0,6.837,2.51
R-404,13618156305,13618156307,29.01,residential,,2,6.0,30,False,4,10.66,10.33,10.99,0.66,0.0228,0.695,3.05,1.0,1.0,5.0,6.816,
R-405,13618156307,13617550928,62.17,tertiary,Ramakrishna Paramahansa Marg,2,8.0,40,True,8,9.13,8.39,10.33,1.94,0.0312,0.71,2.9,1.37,2.27,5.5,6.896,2.65
R-406,13618156307,13618156305,29.01,residential,,2,6.0,30,False,4,10.67,10.33,10.99,0.66,0.0228,0.695,3.05,1.0,1.0,5.0,6.816,
R-407,13618292019,13618292025,19.65,residential,,2,6.0,30,False,3,25.46,24.98,25.89,0.91,0.0463,0.556,4.44,1.0,1.0,11.33,5.873,5.34
R-408,13618292019,13618292027,7.85,residential,,2,6.0,30,False,2,24.66,24.35,24.98,0.63,0.0803,0.564,4.36,1.0,1.0,65.0,5.878,5.62
R-409,13618292019,245667468,4.23,residential,,2,6.0,30,False,2,24.71,24.45,24.98,0.53,0.1253,0.564,4.37,1.0,1.0,2.0,6.122,4.35
R-410,13618292025,10111287875,47.89,residential,,2,6.0,30,False,7,21.95,15.53,25.89,10.36,0.2163,0.589,4.11,1.17,1.75,32.0,5.241,10.55
R-411,13618292025,13618292019,19.65,residential,,2,6.0,30,False,3,25.46,24.98,25.89,0.91,0.0463,0.556,4.44,1.0,1.0,11.33,5.873,5.34
R-412,13618292025,13618292030,12.03,residential,,2,6.0,30,False,3,25.9,25.89,25.91,0.02,0.0017,0.552,4.48,1.0,1.0,90.67,5.489,7.65
R-413,13618292027,13618292019,7.85,residential,,2,6.0,30,False,2,24.66,24.35,24.98,0.63,0.0803,0.564,4.36,1.0,1.0,65.0,5.878,5.62
R-414,13618292027,13618292030,51.24,residential,,2,6.0,30,False,7,23.55,20.89,25.91,5.02,0.098,0.574,4.26,1.07,1.16,128.0,5.363,9.16
R-415,13618292027,13618292030,20.74,residential,,2,6.0,30,False,3,25.16,24.35,25.91,1.56,0.0752,0.559,4.41,1.0,1.0,128.0,5.533,7.62
R-416,13618292030,13618292025,12.03,residential,,2,6.0,30,False,3,25.9,25.89,25.91,0.02,0.0017,0.552,4.48,1.0,1.0,90.67,5.489,7.65
R-417,13618292030,13618292027,51.24,residential,,2,6.0,30,False,7,23.55,20.89,25.91,5.02,0.098,0.574,4.26,1.07,1.16,128.0,5.363,9.16
R-418,13618292030,13618292027,20.74,residential,,2,6.0,30,False,3,25.16,24.35,25.91,1.56,0.0752,0.559,4.41,1.0,1.0,128.0,5.533,7.62
R-419,13618347449,245667863,266.41,secondary,Vidya Nagari Marg,2,10.0,40,True,34,8.57,2.0,16.37,14.37,0.0539,0.715,2.85,7.31,32.35,19.68,7.068,4.95
R-420,13618347449,7366246694,174.97,residential,,2,6.0,30,False,21,9.41,6.47,11.78,5.31,0.0303,0.707,2.93,2.0,4.27,74.67,6.335,6.06
R-421,13618374654,13618374655,19.09,residential,,2,6.0,30,False,3,6.5,6.44,6.63,0.19,0.01,0.734,2.66,1.38,1.46,42.67,7.464,1.42
R-422,13618374655,13618374654,19.09,residential,,2,6.0,30,False,3,6.5,6.44,6.63,0.19,0.01,0.734,2.66,1.38,1.46,42.67,7.464,1.42
R-423,13618374655,13618374657,21.38,residential,,2,6.0,30,False,4,6.21,6.11,6.44,0.33,0.0154,0.737,2.63,1.49,1.7,32.0,7.983,0.89
R-424,13618374655,13618374664,69.05,residential,,2,6.0,30,False,8,6.08,6.0,6.44,0.44,0.0064,0.738,2.62,1.27,1.78,56.0,9.979,0.71
R-425,13618374655,6598052694,16.18,residential,,2,6.0,30,False,2,6.6,6.44,6.76,0.32,0.0198,0.734,2.67,1.18,1.25,17.0,7.333,1.42
R-426,13618374656,13618374657,15.18,residential,,2,6.0,30,False,2,6.12,6.08,6.17,0.09,0.0059,0.738,2.62,1.91,2.2,32.0,8.38,0.69
R-427,13618374657,13618374655,21.38,residential,,2,6.0,30,False,4,6.21,6.11,6.44,0.33,0.0154,0.737,2.63,1.49,1.7,32.0,7.983,0.89
R-428,13618374657,13618374656,15.18,residential,,2,6.0,30,False,2,6.12,6.08,6.17,0.09,0.0059,0.738,2.62,1.91,2.2,32.0,8.38,0.69
R-429,13618374657,5911310880,39.28,residential,,2,6.0,30,False,5,6.47,6.17,6.68,0.51,0.013,0.734,2.66,1.28,1.62,7.4,8.125,0.69
R-430,13618374664,13618374655,69.05,residential,,2,6.0,30,False,8,6.08,6.0,6.44,0.44,0.0064,0.738,2.62,1.27,1.78,56.0,9.979,0.71
R-431,13618374670,5911310880,65.19,residential,,2,6.0,30,False,9,5.99,5.6,6.49,0.89,0.0137,0.739,2.61,2.3,4.19,60.89,8.204,1.06
R-432,13618374671,13618374676,66.12,residential,,2,6.0,30,False,7,5.76,5.16,6.5,1.34,0.0203,0.741,2.59,6.36,18.03,34.57,8.473,1.11
R-433,13618374671,13618374677,45.51,residential,,2,6.0,30,False,6,5.54,5.25,5.89,0.64,0.0141,0.744,2.56,20.39,28.54,11.33,9.56,0.94
R-434,13618374671,13618374681,26.7,residential,,2,6.0,30,False,5,5.74,5.25,6.35,1.1,0.0412,0.742,2.58,11.64,25.72,32.0,8.752,1.02
R-435,13618374676,13618374671,66.12,residential,,2,6.0,30,False,7,5.76,5.16,6.5,1.34,0.0203,0.741,2.59,6.36,18.03,34.57,8.473,1.11
R-436,13618374676,13618374681,42.66,residential,,2,6.0,30,False,5,6.55,6.35,6.71,0.36,0.0084,0.734,2.66,1.21,1.8,51.6,7.534,0.88
R-437,13618374676,5911310880,18.15,residential,,2,6.0,30,False,2,6.5,6.49,6.5,0.01,0.0006,0.734,2.66,1.0,1.0,2.0,7.592,1.1
R-438,13618374677,12406104885,76.32,residential,,2,6.0,30,False,9,6.12,5.81,6.64,0.83,0.0109,0.738,2.62,2.37,6.56,28.89,7.201,1.83
R-439,13618374677,13618374671,45.51,residential,,2,6.0,30,False,6,5.54,5.25,5.89,0.64,0.0141,0.744,2.56,20.39,28.54,11.33,9.56,0.94
R-440,13618374677,13618374681,71.66,residential,,2,6.0,30,False,8,5.71,5.36,6.35,0.99,0.0138,0.742,2.58,18.4,32.69,22.5,9.485,0.8
R-441,13618374677,13618374689,57.67,residential,,2,6.0,30,False,8,4.88,2.84,5.89,3.05,0.0529,0.75,2.5,8.17,28.8,24.75,7.389,2.93
R-442,13618374681,13618374671,26.7,residential,,2,6.0,30,False,5,5.74,5.25,6.35,1.1,0.0412,0.742,2.58,11.64,25.72,32.0,8.752,1.02
R-443,13618374681,13618374676,42.66,residential,,2,6.0,30,False,5,6.55,6.35,6.71,0.36,0.0084,0.734,2.66,1.21,1.8,51.6,7.534,0.88
R-444,13618374681,13618374677,71.66,residential,,2,6.0,30,False,8,5.71,5.36,6.35,0.99,0.0138,0.742,2.58,18.4,32.69,22.5,9.485,0.8
R-445,13618374689,13618374677,57.67,residential,,2,6.0,30,False,8,4.88,2.84,5.89,3.05,0.0529,0.75,2.5,8.17,28.8,24.75,7.389,2.93
R-446,13618395293,13618395297,51.09,residential,,2,6.0,30,False,7,0.88,0.19,2.09,1.9,0.0372,0.787,2.13,135.76,185.29,7.43,10.849,2.35
R-447,13618395297,13618395293,51.09,residential,,2,6.0,30,False,7,0.88,0.19,2.09,1.9,0.0372,0.787,2.13,135.76,185.29,7.43,10.849,2.35
R-448,13618395297,13618395298,20.21,residential,,2,6.0,30,False,4,0.87,0.39,1.53,1.14,0.0564,0.787,2.13,90.47,123.84,5.0,9.812,2.38
R-449,13618395297,13618399201,8.18,residential,,2,6.0,30,False,2,0.22,0.05,0.39,0.34,0.0416,0.794,2.06,155.81,187.78,8.0,11.383,1.9
R-450,13618395298,13618395297,20.21,residential,,2,6.0,30,False,4,0.87,0.39,1.53,1.14,0.0564,0.787,2.13,90.47,123.84,5.0,9.812,2.38
R-451,13618399201,13618395297,8.18,residential,,2,6.0,30,False,2,0.22,0.05,0.39,0.34,0.0416,0.794,2.06,155.81,187.78,8.0,11.383,1.9
R-452,13618399201,13619536860,52.8,residential,,2,6.0,30,False,7,0.33,0.05,0.65,0.6,0.0114,0.792,2.08,104.64,187.93,6.29,9.931,2.1
R-453,13618399201,5911310871,121.31,residential,,2,6.0,30,False,16,2.34,0.05,4.1,4.05,0.0334,0.773,2.27,76.65,187.78,20.5,8.941,2.12
R-454,13618414606,13618414607,23.83,residential,,2,6.0,30,False,3,4.1,3.15,4.97,1.82,0.0764,0.757,2.43,1.27,1.57,2.67,6.702,3.6
R-455,13618414606,13618414607,62.6,residential,,2,6.0,30,False,7,4.05,3.15,4.97,1.82,0.0291,0.757,2.43,1.97,2.88,2.57,6.892,3.36
R-456,13618414606,7365813760,13.43,residential,,2,6.0,30,False,2,4.81,4.65,4.97,0.32,0.0238,0.75,2.5,1.0,1.0,2.0,6.449,3.38
R-457,13618414607,13618414606,23.83,residential,,2,6.0,30,False,3,4.1,3.15,4.97,1.82,0.0764,0.757,2.43,1.27,1.57,2.67,6.702,3.6
R-458,13618414607,13618414606,62.6,residential,,2,6.0,30,False,7,4.05,3.15,4.97,1.82,0.0291,0.757,2.43,1.97,2.88,2.57,6.892,3.36
R-459,13618414607,622039345,7.6,residential,,2,6.0,30,False,2,2.99,2.83,3.15,0.32,0.0421,0.768,2.33,1.57,1.57,4.0,7.021,4.02
R-460,13619237603,13619237606,18.82,residential,,2,6.0,30,False,3,3.91,3.52,4.32,0.8,0.0425,0.759,2.41,1.08,1.23,2.0,6.61,4.06
R-461,13619237603,13619237610,13.31,residential,,2,6.0,30,False,2,3.69,3.52,3.85,0.33,0.0248,0.76,2.4,1.23,1.23,2.0,6.683,4.01
R-462,13619237603,622039354,70.45,residential,,2,6.0,30,False,9,2.57,1.47,3.52,2.05,0.0291,0.771,2.29,3.33,7.99,2.67,6.664,3.58
R-463,13619237606,13619237603,18.82,residential,,2,6.0,30,False,3,3.91,3.52,4.32,0.8,0.0425,0.759,2.41,1.08,1.23,2.0,6.61,4.06
R-464,13619237610,13619237603,13.31,residential,,2,6.0,30,False,2,3.69,3.52,3.85,0.33,0.0248,0.76,2.4,1.23,1.23,2.0,6.683,4.01
R-465,13619237610,622039345,8.4,residential,,2,6.0,30,False,2,3.34,2.83,3.85,1.02,0.1214,0.764,2.36,1.4,1.57,3.0,6.821,3.99
R-466,13619237610,7365813760,16.55,residential,,2,6.0,30,False,2,4.25,3.85,4.65,0.8,0.0483,0.756,2.45,1.11,1.23,2.0,6.576,3.73
R-467,13619239364,13619239365,12.26,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-468,13619239364,13619239367,21.43,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-469,13619239364,13619239369,8.07,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-470,13619239365,13619239364,12.26,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-471,13619239367,13619239364,21.43,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-472,13619239367,13619239369,15.13,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-473,13619239367,245668277,186.93,tertiary,Pipeline Road,2,8.0,40,False,2,5.79,5.79,5.79,0.0,0.0,0.741,2.59,1.7,1.7,2.0,7.083,
R-474,13619239369,13619239364,8.07,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-475,13619239369,13619239367,15.13,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-476,13619239369,245668324,14.91,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-477,13619243522,13619243523,12.05,residential,,2,6.0,30,True,0,,,,,,,,,,,,
R-478,13619243522,13619243545,57.33,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-479,13619243522,9445072347,55.21,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-480,13619243523,13619243551,124.29,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-481,13619243544,13619243551,17.82,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-482,13619243545,13619243522,57.33,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-483,13619243545,245668324,58.86,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-484,13619243551,13619243523,124.29,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-485,13619243551,13619243544,17.82,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-486,13619243551,13619243558,33.83,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-487,13619243558,13619243545,14.22,residential,,2,6.0,30,True,0,,,,,,,,,,,,
R-488,13619243558,13619243551,33.83,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-489,13619318851,11047597219,57.84,residential,,2,6.0,30,False,9,5.44,3.74,7.62,3.88,0.0671,0.744,2.56,1.81,2.67,2.67,6.387,5.02
R-490,13619318851,13619318852,35.19,residential,,2,6.0,30,False,5,6.6,5.76,7.62,1.86,0.0529,0.733,2.67,1.0,1.0,2.4,6.186,3.54
R-491,13619318851,13619318853,26.52,residential,,2,6.0,30,False,4,7.88,7.62,8.11,0.49,0.0185,0.721,2.79,1.11,1.2,4.0,6.416,3.28
R-492,13619318852,11047597219,25.35,residential,,2,6.0,30,False,4,5.49,4.93,5.82,0.89,0.0351,0.744,2.56,1.09,1.35,2.0,6.347,3.31
R-493,13619318852,13619318851,35.19,residential,,2,6.0,30,False,5,6.6,5.76,7.62,1.86,0.0529,0.733,2.67,1.0,1.0,2.4,6.186,3.54
R-494,13619318852,245666191,13.1,residential,,2,6.0,30,False,2,6.04,5.76,6.32,0.56,0.0427,0.738,2.62,1.0,1.0,9.0,6.206,3.52
R-495,13619318853,13619318851,26.52,residential,,2,6.0,30,False,4,7.89,7.62,8.11,0.49,0.0185,0.721,2.79,1.11,1.2,4.0,6.416,3.28
R-496,13619318853,13619318854,10.45,tertiary,Ramakrishna Paramahansa Marg,2,8.0,40,False,2,8.3,8.1,8.51,0.41,0.0392,0.717,2.83,1.08,1.12,4.0,6.712,2.46
R-497,13619318853,245666158,9.0,tertiary,Ramakrishna Paramahansa Marg,2,8.0,40,False,2,7.84,7.59,8.1,0.51,0.0567,0.722,2.79,1.22,1.31,4.0,6.49,3.39
R-498,13619318854,13619318853,10.45,tertiary,Ramakrishna Paramahansa Marg,2,8.0,40,False,2,8.3,8.1,8.51,0.41,0.0392,0.717,2.83,1.08,1.12,4.0,6.712,2.46
R-499,13619318854,13621886870,97.18,tertiary,Ramakrishna Paramahansa Marg,2,8.0,40,False,15,7.35,5.64,8.89,3.25,0.0334,0.726,2.74,1.5,4.25,18.13,6.783,2.51
R-500,13619318854,245666191,61.43,residential,,2,6.0,30,False,9,7.74,6.32,8.7,2.38,0.0387,0.723,2.77,1.01,1.05,6.44,6.428,2.95
R-501,13619318864,11047597219,14.89,residential,,2,6.0,30,False,3,4.07,3.2,4.93,1.73,0.1162,0.757,2.43,1.76,2.08,2.0,6.493,4.24
R-502,13619318864,13619318864,89.56,residential,,2,6.0,30,False,11,1.8,-0.27,3.26,3.53,0.0394,0.779,2.21,3.88,5.9,2.55,6.943,4.78
R-503,13619318864,13619318864,89.56,residential,,2,6.0,30,False,11,1.8,-0.27,3.26,3.53,0.0394,0.779,2.21,3.88,5.9,2.55,6.943,4.78
R-504,13619318866,13617483791,100.36,residential,,2,6.0,30,False,9,2.25,-0.57,5.59,6.16,0.0614,0.774,2.26,6.67,13.54,4.0,7.255,5.76
R-505,13619318866,7365871208,6.89,tertiary,Ramakrishna Paramahansa Marg,2,8.0,40,True,2,5.13,4.67,5.59,0.92,0.1335,0.748,2.52,2.23,2.37,6.0,6.321,6.62
R-506,13619368459,13619368460,19.68,residential,,2,6.0,30,False,4,3.12,2.47,3.78,1.31,0.0666,0.766,2.34,41.82,76.27,88.0,7.557,3.29
R-507,13619368459,13619368466,71.23,residential,,2,6.0,30,False,9,3.83,2.47,4.74,2.27,0.0319,0.759,2.41,6.22,24.6,60.44,6.42,3.6
R-508,13619368459,13619368471,19.88,residential,,2,6.0,30,False,2,1.99,1.51,2.47,0.96,0.0483,0.776,2.23,42.62,60.63,32.0,7.601,2.62
R-509,13619368460,13619368459,19.68,residential,,2,6.0,30,False,4,3.12,2.47,3.78,1.31,0.0666,0.766,2.34,41.82,76.27,88.0,7.557,3.29
R-510,13619368460,13619368498,137.34,residential,,2,6.0,30,False,14,1.35,0.19,3.78,3.59,0.0261,0.783,2.17,81.63,195.63,36.71,9.669,2.31
R-511,13619368460,9771116360,35.05,residential,,2,6.0,30,False,6,4.74,3.78,5.85,2.07,0.0591,0.751,2.49,6.41,20.97,74.67,6.45,3.55
R-512,13619368466,13619368459,71.23,residential,,2,6.0,30,False,9,3.83,2.47,4.74,2.27,0.0319,0.759,2.41,6.22,24.6,60.44,6.42,3.6
R-513,13619368466,13619368487,32.86,residential,,2,6.0,30,False,6,3.15,2.18,4.26,2.08,0.0633,0.766,2.34,21.98,69.75,96.0,7.445,3.54
R-514,13619368466,9771116360,58.73,residential,,2,6.0,30,False,8,4.89,3.66,5.85,2.19,0.0373,0.749,2.51,1.42,2.88,60.0,6.564,3.19
R-515,13619368471,13619368459,19.88,residential,,2,6.0,30,False,2,1.99,1.51,2.47,0.96,0.0483,0.776,2.23,42.62,60.63,32.0,7.601,2.62
R-516,13619368471,13619368487,58.63,residential,,2,6.0,30,False,7,2.29,1.51,3.02,1.51,0.0258,0.774,2.26,50.51,100.14,34.29,7.688,3.22
R-517,13619368471,13620896407,93.24,residential,,2,6.0,30,False,12,1.76,0.87,2.85,1.98,0.0212,0.779,2.21,49.3,139.2,11.33,9.721,1.76
R-518,13619368472,12313982248,36.88,residential,,2,6.0,30,False,4,0.83,0.76,1.02,0.26,0.007,0.787,2.12,5.12,5.3,7.0,8.144,2.13
R-519,13619368472,13619368475,27.84,residential,,2,6.0,30,False,5,0.77,0.45,1.18,0.73,0.0262,0.788,2.12,7.89,23.12,12.8,7.646,2.39
R-520,13619368472,13620896407,24.35,residential,,2,6.0,30,False,5,1.15,0.77,1.88,1.11,0.0456,0.785,2.15,2.68,5.19,14.4,8.31,2.31
R-521,13619368475,13619368472,27.84,residential,,2,6.0,30,False,5,0.77,0.45,1.18,0.73,0.0262,0.788,2.12,7.89,23.12,12.8,7.646,2.39
R-522,13619368475,13619368487,135.86,residential,,2,6.0,30,False,17,1.14,0.19,3.02,2.83,0.0208,0.785,2.15,82.4,208.81,42.82,8.662,2.89
R-523,13619368475,13620896407,8.53,residential,,2,6.0,30,False,2,1.53,1.18,1.88,0.7,0.0821,0.781,2.19,1.0,1.0,16.0,9.46,2.25
R-524,13619368487,13619368466,32.86,residential,,2,6.0,30,False,6,3.15,2.18,4.26,2.08,0.0633,0.766,2.34,21.98,69.75,96.0,7.445,3.54
R-525,13619368487,13619368471,58.63,residential,,2,6.0,30,False,7,2.29,1.51,3.02,1.51,0.0258,0.774,2.26,50.51,100.14,34.29,7.688,3.22
R-526,13619368487,13619368475,135.86,residential,,2,6.0,30,False,17,1.14,0.19,3.02,2.83,0.0208,0.785,2.15,82.4,208.81,42.82,8.662,2.89
R-527,13619368498,13619368460,137.34,residential,,2,6.0,30,False,14,1.35,0.19,3.78,3.59,0.0261,0.783,2.17,81.63,195.63,36.71,9.669,2.31
R-528,13619374592,13619374593,14.32,residential,,2,6.0,30,False,3,4.03,4.0,4.06,0.06,0.0042,0.758,2.42,23.47,31.89,21.33,10.415,1.34
R-529,13619374592,2244637004,43.06,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,5,4.0,4.0,4.0,0.0,0.0,0.758,2.42,15.08,31.89,11.2,9.569,1.49
R-530,13619374593,13619374592,14.32,residential,,2,6.0,30,False,3,4.03,4.0,4.06,0.06,0.0042,0.758,2.42,23.47,31.89,21.33,10.415,1.34
R-531,13619374593,13619374596,37.21,residential,,2,6.0,30,False,5,4.12,4.02,4.24,0.22,0.0059,0.757,2.43,15.23,23.74,38.4,9.423,1.99
